ResponseId	Q120	MainBranch	Age	Employment	RemoteWork	CodingActivities	EdLevel	LearnCode	LearnCodeOnline	LearnCodeCoursesCert	YearsCode	YearsCodePro	DevType	OrgSize	PurchaseInfluence	TechList	BuyNewTool	Country	Currency	CompTotal	LanguageHaveWorkedWith	LanguageWantToWorkWith	DatabaseHaveWorkedWith	DatabaseWantToWorkWith	PlatformHaveWorkedWith	PlatformWantToWorkWith	WebframeHaveWorkedWith	WebframeWantToWorkWith	MiscTechHaveWorkedWith	MiscTechWantToWorkWith	ToolsTechHaveWorkedWith	ToolsTechWantToWorkWith	NEWCollabToolsHaveWorkedWith	NEWCollabToolsWantToWorkWith	OpSysPersonal use	OpSysProfessional use	OfficeStackAsyncHaveWorkedWith	OfficeStackAsyncWantToWorkWith	OfficeStackSyncHaveWorkedWith	OfficeStackSyncWantToWorkWith	AISearchHaveWorkedWith	AISearchWantToWorkWith	AIDevHaveWorkedWith	AIDevWantToWorkWith	NEWSOSites	SOVisitFreq	SOAccount	SOPartFreq	SOComm	SOAI	AISelect	AISent	AIAcc	AIBen	AIToolInterested in Using	AIToolCurrently Using	AIToolNot interested in Using	AINextVery different	AINextNeither different nor similar	AINextSomewhat similar	AINextVery similar	AINextSomewhat different	TBranch	ICorPM	WorkExp	Knowledge_1	Knowledge_2	Knowledge_3	Knowledge_4	Knowledge_5	Knowledge_6	Knowledge_7	Knowledge_8	Frequency_1	Frequency_2	Frequency_3	TimeSearching	TimeAnswering	ProfessionalTech	Industry	SurveyLength	SurveyEase	ConvertedCompYearly
40	I agree	I am a developer by profession	25-34 years old	Employed, full-time	Hybrid (some remote, some in-person)	Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses	Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)	Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial	Other	10	4	Developer, front-end	100 to 499 employees	I have some influence	Investigate	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit	Bangladesh	"BDT	Bangladeshi taka"	1560000.0	HTML/CSS;JavaScript;Python	HTML/CSS;JavaScript;Python			Netlify	Google Cloud	Next.js;Nuxt.js;React;Vue.js	Svelte			Webpack	Vite	IntelliJ IDEA;WebStorm	Visual Studio Code	MacOS	MacOS	Clickup;GitHub Discussions	Clickup;GitHub Discussions	Discord	Discord	ChatGPT	ChatGPT			Stack Overflow;Stack Exchange	Daily or almost daily	Yes	Less than once per month or monthly	Yes, somewhat	generating auto guess answers to a question that has not been answered by anyone	Yes	Very favorable	Increase productivity;Speed up learning;Improve accuracy in coding	Neither trust nor distrust	Project planning;Committing and reviewing code;Deployment and monitoring	Learning about a codebase;Writing code;Debugging and getting help;Testing code							Yes	Individual contributor	4.0	Agree	Disagree	Disagree	Agree	Agree	Neither agree nor disagree	Strongly agree	Disagree	1-2 times a week	Never	Never	Over 120 minutes a day	Over 120 minutes a day	Microservices;Observability tools;Innersource initiative;Continuous integration (CI) and (more often) continuous delivery	Information Services, IT, Software Development, or other Technology	Too long	Easy	14503.0
208	I agree	I am a developer by profession	25-34 years old	Employed, part-time	Remote	Hobby;Professional development or self-paced learning from online courses;Freelance/contract work	Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp	Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial		2	Less than 1 year	Developer, full-stack	10 to 19 employees	I have some influence	Given a list	Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd	Bangladesh	"BDT	Bangladeshi taka"		HTML/CSS;JavaScript	C;C#;C++;Java;JavaScript;Python;SQL;TypeScript	Firebase Realtime Database;MongoDB	Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;Redis;SQLite;Supabase	Firebase;Heroku;Netlify;Render;Vercel	Amazon Web Services (AWS);Firebase;Google Cloud;Vercel	Express;Next.js;Node.js;React	Django;Express;Next.js;Node.js;React			npm;Vite	Docker;npm;Unity 3D	Visual Studio Code	Visual Studio Code	Windows	MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL)			Discord;Google Meet;Slack;Whatsapp;Zoom	Discord;Google Meet;Slack;Whatsapp;Zoom	ChatGPT	ChatGPT			Stack Overflow;Collectives on Stack Overflow	Multiple times per day	Yes	A few times per week	Yes, definitely	I think this will be a good desicion	Yes	Very favorable	Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Improve collaboration	Neither trust nor distrust	Learning about a codebase	Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates 		Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Collaborating with teammates 					Yes	Individual contributor	1.0	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	1-2 times a week	10+ times a week	Never	60-120 minutes a day	Less than 15 minutes a day	Microservices;Innersource initiative	Other	Appropriate in length	Easy	
256	I agree	I am not primarily a developer, but I write code sometimes as part of my work/studies	18-24 years old	Student, full-time			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)	Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Stack Overflow;Interactive tutorial;Certification videos	Coursera	4					Given a list	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Research companies that have emailed me	Bangladesh			Lua;Python;R	Lua;Python;R;Rust;SQL	SQLite	DuckDB;PostgreSQL					NumPy;Pandas;Scikit-Learn;Tidyverse	NumPy;Pandas;Scikit-Learn;Tidyverse	Pip	Cargo;Docker;Pip	Jupyter Notebook/JupyterLab;RStudio;Sublime Text	Jupyter Notebook/JupyterLab;Neovim;RStudio;Sublime Text;Vim	Windows		GitHub Discussions	GitHub Discussions			ChatGPT	ChatGPT			Stack Overflow	Daily or almost daily	Yes	Daily or almost daily	Yes, definitely	I am actually sort of really satisfied with current experience.	No, and I don't plan to																														Appropriate in length	Easy	
275	I agree	I am a developer by profession	25-34 years old	Employed, full-time	Hybrid (some remote, some in-person)	Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work	Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)	Formal documentation provided by the owner of the tech;How-to videos;Video-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial;Certification videos	Codecademy;Udemy;Coursera	8	6	Developer, full-stack	20 to 99 employees	I have some influence	Given a list	Visit developer communities like Stack Overflow	Bangladesh	"BDT	Bangladeshi taka"		C#;HTML/CSS;Java;JavaScript;PowerShell	C#;HTML/CSS;JavaScript;PowerShell	Microsoft Access;Microsoft SQL Server;MongoDB;Oracle;Redis	Microsoft Access;Microsoft SQL Server;MongoDB;Oracle;Redis	Amazon Web Services (AWS);Firebase;Heroku;Microsoft Azure	Amazon Web Services (AWS);Firebase;Heroku;Microsoft Azure	Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Node.js	Angular;ASP.NET;ASP.NET CORE	.NET (5+) ;.NET Framework (1.0 - 4.8)	.NET (5+) 	Kubernetes;npm;NuGet;Unity 3D;Visual Studio Solution	Kubernetes;npm;NuGet;Unity 3D;Visual Studio Solution	Android Studio;Code::Blocks;Notepad++;Visual Studio Code	Visual Studio Code	Android;Ubuntu;Windows	Windows	Azure Devops	Azure Devops	Microsoft Teams;Skype;Slack;Telegram;Whatsapp;Zoom	Microsoft Teams;Slack;Telegram;Whatsapp;Zoom	ChatGPT	ChatGPT			Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Collectives on Stack Overflow	Multiple times per day	Yes	A few times per week	Yes, definitely	Suggestion best matching answer	Yes	Favorable	Speed up learning	Highly trust	Writing code;Documenting code	Writing code;Documenting code;Testing code					Documenting code		Yes	Individual contributor	7.0	Agree		Neither agree nor disagree			Agree			1-2 times a week	1-2 times a week	1-2 times a week	15-30 minutes a day	Less than 15 minutes a day	DevOps function;Microservices;Automated testing;AI-assisted technology tool(s)		Too long	Difficult	
380	I agree	I am a developer by profession	25-34 years old	Employed, full-time	Hybrid (some remote, some in-person)	Hobby	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Colleague;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)	Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Stack Overflow		6	3	Developer, back-end	500 to 999 employees	I have little or no influence		Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd	Bangladesh	"BDT	Bangladeshi taka"	1200000.0	HTML/CSS;Java;Python;SQL;TypeScript	Java;TypeScript	Elasticsearch;MariaDB;MySQL;Redis	Elasticsearch;MariaDB;MySQL;Redis	Amazon Web Services (AWS);Google Cloud	Amazon Web Services (AWS)	Angular;Django;Spring Boot	Angular;Spring Boot	Apache Kafka;NumPy;Opencv;Pandas;Spring Framework	Apache Kafka;Spring Framework	Docker;Gradle;Maven (build tool);npm;Pip	Docker;Gradle;Maven (build tool)	IntelliJ IDEA;PyCharm;Sublime Text;WebStorm	IntelliJ IDEA;PyCharm;WebStorm	Red Hat;Ubuntu;Windows;Windows Subsystem for Linux (WSL)	Ubuntu	Jira;Monday.com	Jira;Monday.com	Google Meet;Skype;Slack	Google Meet;Skype;Slack					Stack Overflow;Stack Exchange;Collectives on Stack Overflow	Daily or almost daily	Yes	Less than once per month or monthly	Neutral		No, and I don't plan to												Yes	Individual contributor	3.0	Neither agree nor disagree		Agree	Agree	Disagree	Neither agree nor disagree	Disagree	Disagree	Never	10+ times a week	1-2 times a week	30-60 minutes a day	15-30 minutes a day	DevOps function;Microservices;Automated testing;Continuous integration (CI) and (more often) continuous delivery	Information Services, IT, Software Development, or other Technology	Appropriate in length	Easy	11156.0
630	I agree	I am a developer by profession	25-34 years old	Employed, full-time	Hybrid (some remote, some in-person)	Hobby;Freelance/contract work	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Online Courses or Certification;On the job training;School (i.e., University, College, etc);Coding Bootcamp		Udemy	5	3	Developer, mobile	I don’t know	I have little or no influence		Start a free trial;Visit developer communities like Stack Overflow	Bangladesh	"BDT	Bangladeshi taka"		Dart;Objective-C;Swift	Dart;Objective-C;Swift	Cloud Firestore;SQLite	Cloud Firestore;SQLite	Amazon Web Services (AWS);Firebase	Amazon Web Services (AWS);Firebase	ASP.NET;ASP.NET CORE		.NET (5+) ;Flutter;SwiftUI		Gradle;Homebrew		Android Studio;Xcode		Android;iOS;MacOS;Windows	iOS;MacOS;Windows	GitHub Discussions;Stack Overflow for Teams	GitHub Discussions;Stack Overflow for Teams	Discord;Google Chat;Google Meet;Skype;Slack;Telegram;Whatsapp;Zoom		ChatGPT;Google Bard AI				Stack Overflow	Multiple times per day	Yes	A few times per month or weekly	Neutral		No, and I don't plan to												No																		Too long	Neither easy nor difficult	
702	I agree	I am a developer by profession	25-34 years old	Employed, full-time	Hybrid (some remote, some in-person)	Professional development or self-paced learning from online courses;Other (please specify):	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;Colleague;Friend or family member;Hackathons (virtual or in-person);Other online resources (e.g., videos, blogs, forum)	Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Stack Overflow;Interactive tutorial		4	2	System administrator	10 to 19 employees	I have a great deal of influence	Investigate	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have emailed me	Bangladesh	"BDT	Bangladeshi taka"	600000.0	Bash/Shell (all shells);C;C#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript	Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript	Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite	Cassandra;Dynamodb;Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite	Amazon Web Services (AWS);Cloudflare;Digital Ocean;Microsoft Azure;Netlify	Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Heroku;IBM Cloud Or Watson;Linode, now Akamai;Microsoft Azure;Netlify	AngularJS;Django;Express;NestJS;Node.js;Svelte	Django;Express;NestJS;Node.js;React;Svelte	RabbitMQ;React Native	Apache Kafka;Apache Spark;Hadoop;NumPy;Opencv;OpenGL;RabbitMQ;React Native;TensorFlow;Torch/PyTorch	APT;Docker;npm;Pip;Visual Studio Solution;Yarn	APT;Docker;Google Test;Kubernetes;npm;Pip;Visual Studio Solution;Yarn	PyCharm;Visual Studio Code	Atom;PyCharm;Visual Studio Code	Ubuntu	Ubuntu	Clickup;Jira;Trello	Clickup;Jira;Trello	Google Meet;Microsoft Teams;Slack;Whatsapp;Zoom	Google Meet;Microsoft Teams;Slack;Whatsapp;Zoom	ChatGPT	ChatGPT	GitHub Copilot	GitHub Copilot	Stack Overflow;Stack Exchange	A few times per week	Yes	I have never participated in Q&A on Stack Overflow	Yes, definitely	It is a good idea to to use AI to imporve stackoverflow. And I think AI can be used the detect the question well and first try to find a human gaven answer. If not found the AI can suggest a solution.	Yes	Favorable	Increase productivity;Greater efficiency;Speed up learning	Somewhat trust	Writing code;Documenting code;Debugging and getting help;Testing code;Collaborating with teammates 	Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code	Committing and reviewing code	Documenting code;Debugging and getting help	Debugging and getting help;Testing code			Learning about a codebase;Writing code	Yes	People manager	2.0	Agree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Agree	Agree	Agree	Disagree	1-2 times a week	1-2 times a week	3-5 times a week	Over 120 minutes a day	60-120 minutes a day	DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery	Healthcare	Too long	Neither easy nor difficult	5578.0
1341	I agree	I am not primarily a developer, but I write code sometimes as part of my work/studies	18-24 years old	Student, part-time			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp	Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Click to write Choice 20;Stack Overflow;Interactive tutorial	Other	4					Investigate	Start a free trial	Bangladesh			HTML/CSS;JavaScript;PHP;TypeScript	Assembly;SQL;TypeScript	MySQL;PostgreSQL;Redis;SQLite	PostgreSQL;Redis;SQLite	Amazon Web Services (AWS);Digital Ocean;Heroku;Netlify;Vercel	Amazon Web Services (AWS);Cloudflare;Digital Ocean;Vercel	Next.js;Node.js;React	Next.js;Node.js;React			Vite;Yarn	Vite;Yarn	Notepad++;Sublime Text;Visual Studio Code	Visual Studio Code	Ubuntu	Ubuntu	Asana;Jira	Asana;Jira	Discord;Google Meet;Telegram;Whatsapp;Zoom	Discord;Google Meet;Telegram;Whatsapp;Zoom	ChatGPT	ChatGPT	GitHub Copilot;Tabnine		Stack Overflow	Daily or almost daily	Yes	A few times per month or weekly	Yes, definitely		Yes	Very favorable	Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Improve collaboration	Somewhat trust	Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates 	Writing code;Testing code					Writing code;Testing code																				Too long	Difficult	
1575	I agree	I am a developer by profession	45-54 years old	Employed, full-time	In-person	Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses	Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	Books / Physical media;Friend or family member;Online Courses or Certification			16		Senior Executive (C-Suite, VP, etc.)	100 to 499 employees	I have some influence		Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd	Bangladesh	"USD	United States dollar"		C#;Go;Java;JavaScript;PHP;SQL	JavaScript;PHP;SQL	MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Redis;Solr	MySQL	Firebase		CodeIgniter;Express;jQuery;Laravel;Node.js;Vue.js;WordPress	Express;Laravel;Node.js;Vue.js;WordPress	.NET Framework (1.0 - 4.8)		Composer;Homebrew;npm;Webpack;Yarn	Composer;Homebrew;npm;Webpack	Android Studio;Eclipse;Netbeans;Notepad++;Sublime Text;Visual Studio Code	Sublime Text	MacOS;Ubuntu;Windows	MacOS	Trello	Trello	Discord;Google Chat;Skype;Slack;Telegram;Zoom	Discord;Google Chat;Telegram;Zoom	ChatGPT	ChatGPT			Stack Overflow;Stack Exchange	Daily or almost daily	Yes	A few times per week	Yes, definitely	Filter better duplicates, Suggest better explanation.	No, but I plan to soon	Unsure		Neither trust nor distrust									Yes	People manager	16.0	Agree	Disagree	Agree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Agree	Never	1-2 times a week	1-2 times a week	Less than 15 minutes a day	15-30 minutes a day		Information Services, IT, Software Development, or other Technology	Too long	Neither easy nor difficult	
1608	I agree	I am learning to code	18-24 years old	Independent contractor, freelancer, or self-employed;Not employed, but looking for work;Student, part-time	Remote	Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp	Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;Written-based Online Courses;Written Tutorials;Stack Overflow	Udemy;Coursera	4		Student				Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd	Bangladesh			Dart	Dart	MySQL;SQLite	PostgreSQL	Firebase	Digital Ocean;Firebase;Google Cloud;Microsoft Azure	Node.js	Node.js	Flutter	Flutter	Gradle;Unity 3D;Visual Studio Solution	Gradle;Visual Studio Solution	Android Studio;Fleet;Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code	Android Studio;Visual Studio Code	Arch;Windows	Windows	Jira		Discord;Google Meet;Telegram	Google Meet;Telegram			GitHub Copilot	GitHub Copilot	Stack Overflow;Stack Exchange;Collectives on Stack Overflow	Multiple times per day	Yes	Multiple times per day	Yes, definitely		Yes	Favorable	Increase productivity;Speed up learning;Improve accuracy in coding	Somewhat trust																											Appropriate in length	Neither easy nor difficult	
